nodo,direccion,valor_kN
601043,comp_4,0.0
601043,comp_5,11.6921
601044,comp_0,-0.060725
601044,comp_1,-4.210922
601044,comp_2,-0.0
601044,comp_3,-0.0
601044,comp_4,0.0
601044,comp_5,11.6921
602000,comp_0,-1.737384
602000,comp_1,24.752145
602000,comp_2,-0.0
602000,comp_3,0.0
602000,comp_4,0.0
602000,comp_5,-1.586794
602001,comp_0,1.823301
602001,comp_1,29.917111
602001,comp_2,0.0
602001,comp_3,0.0
602001,comp_4,-38.607785
602001,comp_5,-1.586794
602002,comp_0,0.534458
602002,comp_1,29.910774
602002,comp_2,-224.253608
602002,comp_3,2.227653
602002,comp_4,-3.018807
602002,comp_5,-1.57944
602003,comp_0,0.848823
602003,comp_1,24.625211
602003,comp_2,0.0
602003,comp_3,-0.0
602003,comp_4,-0.0
602003,comp_5,-1.57944
602004,comp_0,18.307969
602004,comp_1,0.884738
602004,comp_2,0.0
602004,comp_3,7.298823
602004,comp_4,-16.710771
602004,comp_5,-0.097345
602005,comp_0,0.0
602005,comp_1,-7.298823
602005,comp_2,16.710771
602005,comp_3,0.0
602005,comp_4,48.804693
602005,comp_5,-11.130706
602006,comp_0,0.0
602006,comp_1,0.0
602006,comp_2,19.303893
602006,comp_3,0.0
602006,comp_4,-0.0
602006,comp_5,0.0
602007,comp_0,224.253608
602007,comp_1,-2.227653
602007,comp_2,3.018807
602007,comp_3,-19.341481
602007,comp_4,141.478415
602007,comp_5,-4.025599
602008,comp_0,0.51459
602008,comp_1,-0.515004
602008,comp_2,78.704378
602008,comp_3,52.990359
602008,comp_4,-284.818929
602008,comp_5,4.242047
602009,comp_0,7.244298
602009,comp_1,1.625583
602009,comp_2,-0.51459
602009,comp_3,0.515004
602009,comp_4,-78.704378
602009,comp_5,-0.097345
602010,comp_0,0.606982
602010,comp_1,2.041255
602010,comp_2,-0.0
602010,comp_3,-7.298823
602010,comp_4,-194.607133
602010,comp_5,-0.097345
602011,comp_0,6.704877
602011,comp_1,1.30041
602011,comp_2,0.51459
602011,comp_3,-0.515004
602011,comp_4,-98.156476
602011,comp_5,-0.097345
602012,comp_0,-0.0
602012,comp_1,7.298823
602012,comp_2,194.607133
602012,comp_3,0.0
602012,comp_4,48.804693
602012,comp_5,-11.130706
602013,comp_0,0.0
602013,comp_1,0.0
602013,comp_2,19.303893
602013,comp_3,0.0
