nodo,direccion,desplazamiento_m
602040,comp_5,-3.83e-05
602041,comp_0,-0.00031474
602041,comp_1,-0.00020337
602041,comp_2,-0.01242963
602041,comp_3,1.142e-05
602041,comp_4,0.00178219
602041,comp_5,-3.83e-05
602042,comp_0,-3.709e-05
602042,comp_1,-0.00020337
602042,comp_2,-0.00461811
602042,comp_3,0.00034863
602042,comp_4,0.00043779
602042,comp_5,-3.83e-05
602043,comp_0,-2.369e-05
602043,comp_1,-0.00020337
602043,comp_2,-0.00011328
602043,comp_3,4.323e-05
602043,comp_4,-7.2e-07
602043,comp_5,-3.83e-05
603000,comp_0,-0.00096062
603000,comp_1,0.0013204
603000,comp_2,-0.0001037
603000,comp_3,-6.042e-05
603000,comp_4,-4.655e-05
603000,comp_5,-5.452e-05
603001,comp_0,-0.00080142
603001,comp_1,0.0013204
603001,comp_2,-0.00017266
603001,comp_3,-6.006e-05
603001,comp_4,-4.608e-05
603001,comp_5,-5.452e-05
603002,comp_0,-0.00011989
603002,comp_1,0.0013204
603002,comp_2,-0.00050854
603002,comp_3,-5.998e-05
603002,comp_4,5.7e-07
603002,comp_5,-5.452e-05
603003,comp_0,3.904e-05
603003,comp_1,0.0013204
603003,comp_2,-0.0001037
603003,comp_3,-6.042e-05
603003,comp_4,1.806e-05
603003,comp_5,-5.452e-05
603004,comp_0,-0.0009091
603004,comp_1,0.00130405
603004,comp_2,-0.0001037
603004,comp_3,-4.856e-05
603004,comp_4,0.00038497
603004,comp_5,-5.452e-05
603005,comp_0,-9.552e-05
603005,comp_1,-4.856e-05
603005,comp_2,0.00024088
603005,comp_3,-0.00096062
603005,comp_4,0.0013204
603005,comp_5,-5.452e-05
603006,comp_0,-3.962e-05
603006,comp_1,-7.641e-05
603006,comp_2,-0.00278612
603006,comp_3,-0.00096062
603006,comp_4,0.0013204
603006,comp_5,-5.452e-05
603007,comp_0,-0.00064157
603007,comp_1,-7.634e-05
603007,comp_2,0.00194836
603007,comp_3,-0.00096062
603007,comp_4,0.0013204
603007,comp_5,-5.452e-05
603008,comp_0,-0.00010773
603008,comp_1,-5.923e-05
603008,comp_2,-0.00026399
603008,comp_3,0.0
603008,comp_4,0.0
603008,comp_5,0.0
603009,comp_0,-1.221e-05
603009,comp_1,0.00130405
603009,comp_2,-0.00010773
603009,comp_3,-5.923e-05
603009,comp_4,-0.00026399
603009,comp_5,-5.452e-05
603010,comp_0,-0.0009091
603010,comp_1,0.00122499
603010,comp_2,-0.0001037
603010,comp_3,-6.505e-05
603010,comp_4,-0.00132577
603010,comp_5,-5.452e-05
603011,comp_0,-1.221e-05
603011,comp_1,0.00122499
603011,comp_2,-9.967e-05
603011,comp_3,-5.438e-05
603011,comp_4,-0.00041865
603011,comp_5,-5.452e-05
603012,comp_0,-9.552e-05
603012,comp_1,-0.00015228
603012,comp_2,-0.00358251
603012,comp_3,-0.00096062
603012,comp_4,0.0013204
603012,comp_5,-5.452e-05
603013,comp_0,-3.962e-05
603013,comp_1,-0.00024271
603013,comp_2,-0.00681335
603013,comp_3,-0.00096062
603013,comp_4,0.0013204
603013,comp_5,-5.452e-05
603014,comp_0,-0.00075119
603014,comp_1,-3.774e-05
603014,comp_2,2.99e-06
603014,comp_3,0.0
603014,comp_4,0.0
603014,comp_5,0.0
603015,comp_0,-0.00010785
603015,comp_1,-0.00014162
603015,comp_2,-0.0023872
603015,comp_3,-0.00096062
603015,comp_4,0.0013204
603015,comp_5,-5.452e-05
603016,comp_0,-0.00090092
603016,comp_1,0.0011214
603016,comp_2,-0.0011883
603016,comp_3,8.581e-05
603016,comp_4,8.089e-05
603016,comp_5,-5.452e-05
603017,comp_0,-0.00041567
603017,comp_1,0.0011214
603017,comp_2,-0.00075119
603017,comp_3,-3.774e-05
603017,comp_4,2.99e-06
603017,comp_5,-5.452e-05
603018,comp_0,-2.039e-05
603018,comp_1,0.0011214
603018,comp_2,-0.00103867
603018,comp_3,-3.806e-05
603018,comp_4,4.166e-05
603018,comp_5,-5.452e-05
603019,comp_0,-0.00090092
603019,comp_1,0.00091694
603019,comp_2,-0.00147826
603019,comp_3,5.093e-05
603019,comp_4,6.485e-05
603019,comp_5,-5.452e-05
603020,comp_0,-0.00041567
603020,comp_1,0.00091694
603020,comp_2,-0.00111876
603020,comp_3,7.01e-06
603020,comp_4,0.00014198
603020,comp_5,-5.452e-05
603021,comp_0,-2.039e-05
603021,comp_1,0.00091694
603021,comp_2,-0.00120358
603021,comp_3,-2.184e-05
603021,comp_4,4.536e-05
603021,comp_5,-5.452e-05
603022,comp_0,-0.00090092
603022,comp_1,0.00071248
603022,comp_2,-0.00157286
603022,comp_3,-1.58e-05
603022,comp_4,-2.736e-05
603022,comp_5,-5.452e-05
603023,comp_0,-0.00041567
603023,comp_1,0.00071248
603023,comp_2,-0.00150723
603023,comp_3,-7.13e-06
603023,comp_4,2.049e-05
