tipo,elemento,nodo,componente,valor
local,27,-,comp_0,1368.130497
local,27,-,comp_1,25.860406
local,27,-,comp_2,-9.407229
local,27,-,comp_3,2.922655
local,27,-,comp_4,16.357393
local,27,-,comp_5,54.638627
local,27,-,comp_6,-1368.130497
local,27,-,comp_7,-25.860406
local,27,-,comp_8,9.407229
local,27,-,comp_9,-2.922655
local,27,-,comp_10,20.895234
local,27,-,comp_11,47.768582
local,28,-,comp_0,908.264981
local,28,-,comp_1,10.551599
local,28,-,comp_2,-4.213532
local,28,-,comp_3,2.137161
local,28,-,comp_4,6.684696
local,28,-,comp_5,25.011234
local,28,-,comp_6,-908.264981
local,28,-,comp_7,-10.551599
local,28,-,comp_8,4.213532
local,28,-,comp_9,-2.137161
local,28,-,comp_10,10.000892
local,28,-,comp_11,16.773098
local,29,-,comp_0,450.331394
local,29,-,comp_1,42.714705
local,29,-,comp_2,-10.43501
local,29,-,comp_3,1.713677
local,29,-,comp_4,14.680492
local,29,-,comp_5,53.914709
local,29,-,comp_6,-450.331394
local,29,-,comp_7,-42.714705
local,29,-,comp_8,10.43501
local,29,-,comp_9,-1.713677
local,29,-,comp_10,26.642146
local,29,-,comp_11,115.235522
local,30,-,comp_0,458.32956
local,30,-,comp_1,7.783614
local,30,-,comp_2,0.363603
local,30,-,comp_3,2.121288
local,30,-,comp_4,-4.42193
local,30,-,comp_5,29.997587
local,30,-,comp_6,-458.32956
local,30,-,comp_7,-7.783614
local,30,-,comp_8,-0.363603
local,30,-,comp_9,-2.121288
local,30,-,comp_10,2.982061
local,30,-,comp_11,0.825526
local,31,-,comp_0,354.223378
local,31,-,comp_1,1.177205
local,31,-,comp_2,0.3861
local,31,-,comp_3,2.922655
local,31,-,comp_4,-2.982061
local,31,-,comp_5,-0.825526
local,31,-,comp_6,-354.223378
local,31,-,comp_7,-1.177205
local,31,-,comp_8,-0.3861
local,31,-,comp_9,-2.922655
local,31,-,comp_10,1.453106
local,31,-,comp_11,5.487259
local,32,-,comp_0,246.733906
local,32,-,comp_1,-0.027896
local,32,-,comp_2,0.221683
local,32,-,comp_3,2.137161
local,32,-,comp_4,-1.453106
local,32,-,comp_5,-5.487259
local,32,-,comp_6,-246.733906
local,32,-,comp_7,0.027896
local,32,-,comp_8,-0.221683
local,32,-,comp_9,-2.137161
local,32,-,comp_10,0.575241
local,32,-,comp_11,5.37679
local,33,-,comp_0,142.627724
local,33,-,comp_1,-1.357775
local,33,-,comp_2,0.145263
local,33,-,comp_3,1.713677
local,33,-,comp_4,-0.575241
local,33,-,comp_5,-5.37679
local,33,-,comp_6,-142.627724
local,33,-,comp_7,1.357775
local,33,-,comp_8,-0.145263
local,33,-,comp_9,-1.713677
local,33,-,comp_10,0.0
local,33,-,comp_11,-0.0
local,34,-,comp_0,0.0
local,34,-,comp_1,0.0
local,34,-,comp_2,0.0
local,34,-,comp_3,-0.0
local,34,-,comp_4,0.0
local,34,-,comp_5,0.0
local,34,-,comp_6,0.0
local,34,-,comp_7,0.0
local,34,-,comp_8,0.0
local,34,-,comp_9,0.0
local,34,-,comp_10,0.0
local,34,-,comp_11,0.0
local,36,-,comp_0,0.0
local,36,-,comp_1,0.0
local,36,-,comp_2,0.0
local,36,-,comp_3,-0.0
local,36,-,comp_4,0.0
local,36,-,comp_5,0.0
local,36,-,comp_6,0.0
local,36,-,comp_7,0.0
local,36,-,comp_8,0.0
local,36,-,comp_9,0.0
local,36,-,comp_10,0.0
local,36,-,comp_11,0.0
local,37,-,comp_0,0.0
local,37,-,comp_1,0.0
local,37,-,comp_2,0.0
local,37,-,comp_3,-0.0
local,37,-,comp_4,0.0
local,37,-,comp_5,0.0
local,37,-,comp_6,0.0
local,37,-,comp_7,0.0
local,37,-,comp_8,0.0
local,37,-,comp_9,0.0
local,37,-,comp_10,0.0
local,37,-,comp_11,0.0
local,38,-,comp_0,0.0
local,38,-,comp_1,0.0
local,38,-,comp_2,0.0
local,38,-,comp_3,-0.0
local,38,-,comp_4,0.0
local,38,-,comp_5,0.0
local,38,-,comp_6,0.0
local,38,-,comp_7,0.0
local,38,-,comp_8,0.0
local,38,-,comp_9,0.0
local,38,-,comp_10,0.0
local,38,-,comp_11,0.0
local,39,-,comp_0,0.0
local,39,-,comp_1,0.0
local,39,-,comp_2,0.0
local,39,-,comp_3,-0.0
local,39,-,comp_4,0.0
local,39,-,comp_5,0.0
local,39,-,comp_6,0.0
local,39,-,comp_7,0.0
local,39,-,comp_8,0.0
local,39,-,comp_9,0.0
local,39,-,comp_10,0.0
local,39,-,comp_11,0.0
local,40,-,comp_0,0.0
local,40,-,comp_1,0.0
local,40,-,comp_2,0.0
local,40,-,comp_3,-0.0
local,40,-,comp_4,0.0
local,40,-,comp_5,0.0
local,40,-,comp_6,0.0
local,40,-,comp_7,0.0
local,40,-,comp_8,0.0
local,40,-,comp_9,0.0
local,40,-,comp_10,0.0
local,40,-,comp_11,0.0
local,41,-,comp_0,0.0
local,41,-,comp_1,0.0
local,41,-,comp_2,0.0
