nodo,direccion,desplazamiento_m
24,comp_0,6.395430218655629e-05
24,comp_1,-3.782411644806402e-07
24,comp_2,-0.0005854679095264254
24,comp_3,4.926651568666202e-06
24,comp_4,-1.904109784673088e-05
24,comp_5,5.449859850717084e-09
26,comp_0,0.00018229867288547516
26,comp_1,-2.8291359676874893e-05
26,comp_2,-0.0009710079016967589
26,comp_3,6.427039885601793e-06
26,comp_4,0.00027735346277471215
26,comp_5,2.504457739661053e-07
28,comp_0,0.000680653036528864
28,comp_1,-5.724525068140468e-05
28,comp_2,-0.0011659632721107384
28,comp_3,1.5376149820886152e-05
28,comp_4,0.000543943751577628
28,comp_5,1.420030411825444e-08
30,comp_0,0.0
30,comp_1,0.0
30,comp_2,0.0
30,comp_3,0.0
30,comp_4,0.0
30,comp_5,0.0
31,comp_0,6.391479070263859e-05
31,comp_1,-3.782411644806402e-07
31,comp_2,-0.00040234736425142265
31,comp_3,1.0080368999558033e-05
31,comp_4,-2.3031163872383518e-05
31,comp_5,5.449859850717084e-09
33,comp_0,0.00018048294102422088
33,comp_1,-2.8291359676874893e-05
33,comp_2,-0.0006841097136408181
33,comp_3,1.6342359038379143e-05
33,comp_4,0.0002699701454151417
33,comp_5,2.504457739661053e-07
35,comp_0,0.0006805500843240066
35,comp_1,-5.724525068140468e-05
35,comp_2,-0.0008182113076196477
35,comp_3,3.891117751963694e-05
35,comp_4,0.0004101255886837649
35,comp_5,1.420030411825444e-08
37,comp_0,0.0
37,comp_1,0.0
37,comp_2,0.0
37,comp_3,0.0
37,comp_4,0.0
37,comp_5,0.0
38,comp_0,6.400280593922767e-05
38,comp_1,-3.782411644806402e-07
38,comp_2,-0.0004312117105107105
38,comp_3,-1.6255746894778474e-06
38,comp_4,-1.384037827508797e-05
38,comp_5,5.449859850717084e-09
40,comp_0,0.00018452764027377348
40,comp_1,-2.8291359676874893e-05
40,comp_2,-0.0007134227339335681
40,comp_3,-2.7005664856298544e-06
40,comp_4,0.00021949068985250246
40,comp_5,2.504457739661053e-07
42,comp_0,0.0006807794192355164
42,comp_1,-5.724525068140468e-05
42,comp_2,-0.0008506830120704902
42,comp_3,-2.344249550189465e-05
42,comp_4,0.0003480296454813498
42,comp_5,1.420030411825444e-08
44,comp_0,0.0
44,comp_1,0.0
44,comp_2,0.0
44,comp_3,0.0
44,comp_4,0.0
44,comp_5,0.0
45,comp_0,6.400280593922767e-05
45,comp_1,-3.2374256597346934e-07
45,comp_2,-0.00047751426198441995
45,comp_3,-1.487399803966479e-06
45,comp_4,1.2903526823939069e-05
45,comp_5,5.449859850717084e-09
47,comp_0,0.00018452764027377348
47,comp_1,-2.578690193721384e-05
47,comp_2,-0.0008072722900127311
47,comp_3,-7.851659930794014e-06
47,comp_4,5.525539359757123e-05
47,comp_5,2.504457739661053e-07
49,comp_0,0.0006807794192355164
49,comp_1,-5.710324764022214e-05
49,comp_2,-0.000970110970141889
49,comp_3,-2.9834413926984163e-05
49,comp_4,2.8800469928473022e-05
49,comp_5,1.420030411825444e-08
51,comp_0,6.391479070263859e-05
51,comp_1,-3.2374256597346934e-07
51,comp_2,-0.00047145849130662956
51,comp_3,9.453911347811836e-06
51,comp_4,3.891434127131342e-05
51,comp_5,5.449859850717084e-09
52,comp_0,0.00018048294102422088
52,comp_1,-2.578690193721384e-05
52,comp_2,-0.0008293780175962103
52,comp_3,2.0229452738692035e-05
52,comp_4,-8.486360012488496e-05
52,comp_5,2.504457739661053e-07
54,comp_0,0.0006805500843240066
54,comp_1,-5.710324764022214e-05
54,comp_2,-0.0009983882362313435
54,comp_3,4.1727651018628616e-05
54,comp_4,0.00015769246692022007
54,comp_5,1.420030411825444e-08
56,comp_0,0.0
56,comp_1,0.0
56,comp_2,0.0
56,comp_3,0.0
56,comp_4,0.0
56,comp_5,0.0
58,comp_0,6.395430218655629e-05
58,comp_1,-3.2374256597346934e-07
58,comp_2,-0.0006592070076421842
58,comp_3,3.746904398431453e-06
58,comp_4,3.097758347002695e-05
58,comp_5,5.449859850717084e-09
59,comp_0,0.00018229867288547516
59,comp_1,-2.578690193721384e-05
59,comp_2,-0.0011250593203887829
59,comp_3,8.69537131623229e-06
59,comp_4,-3.3078378715655066e-05
59,comp_5,2.504457739661053e-07
61,comp_0,0.000680653036528864
61,comp_1,-5.710324764022214e-05
61,comp_2,-0.0013494591192404614
61,comp_3,7.399984218890091e-06
61,comp_4,4.186127216922011e-05
61,comp_5,1.420030411825444e-08
63,comp_0,0.0
63,comp_1,0.0
63,comp_2,0.0
63,comp_3,0.0
63,comp_4,0.0
63,comp_5,0.0
65,comp_0,6.391479070263859e-05
65,comp_1,-2.692439674662985e-07
65,comp_2,-0.00043943988047409106
65,comp_3,9.417222610896943e-06
65,comp_4,6.855524489802596e-06
65,comp_5,5.449859850717084e-09
66,comp_0,0.00018048294102422088
66,comp_1,-2.328244419755279e-05
66,comp_2,-0.0007648565265509325
66,comp_3,2.468595390056727e-05
66,comp_4,3.855928206389797e-05
66,comp_5,2.504457739661053e-07
68,comp_0,0.0006805500843240066
68,comp_1,-5.6961244599039596e-05
68,comp_2,-0.0009338078655520721
68,comp_3,4.4466411190178584e-05
68,comp_4,-1.4350001589780069e-05
68,comp_5,1.420030411825444e-08
70,comp_0,0.0
70,comp_1,0.0
70,comp_2,0.0
70,comp_3,0.0
70,comp_4,0.0
70,comp_5,0.0
72,comp_0,6.395430218655629e-05
72,comp_1,-2.692439674662985e-07
72,comp_2,-0.0006454420347063906
72,comp_3,2.3686902085437345e-06
72,comp_4,4.901215991607243e-06
72,comp_5,5.449859850717084e-09
73,comp_0,0.00018229867288547516
73,comp_1,-2.328244419755279e-05
73,comp_2,-0.001098337235074761
73,comp_3,1.0851241085545826e-05
73,comp_4,5.761380801229099e-05
73,comp_5,2.504457739661053e-07
75,comp_0,0.000680653036528864
75,comp_1,-5.6961244599039596e-05
75,comp_2,-0.001324451711651884
75,comp_3,1.0768413072542725e-05
75,comp_4,0.00010435788527832355
75,comp_5,1.420030411825444e-08
77,comp_0,0.0
77,comp_1,0.0
77,comp_2,0.0
77,comp_3,0.0
77,comp_4,0.0
77,comp_5,0.0
79,comp_0,6.400280593922767e-05
79,comp_1,-2.692439674662985e-07
79,comp_2,-0.00048053342431727885
79,comp_3,2.2525407438445587e-05
79,comp_4,4.5309733729534794e-05
79,comp_5,5.449859850717084e-09
80,comp_0,0.00018452764027377348
80,comp_1,-2.328244419755279e-05
80,comp_2,-0.0008136775899597732
80,comp_3,-1.1442373984448282e-05
80,comp_4,4.373165147346336e-05
80,comp_5,2.504457739661053e-07
82,comp_0,0.0006807794192355164
82,comp_1,-5.6961244599039596e-05
82,comp_2,-0.0009787094737909409
82,comp_3,-2.5732765417135496e-05
82,comp_4,0.00011513927127000818
82,comp_5,1.420030411825444e-08
84,comp_0,0.0
84,comp_1,0.0
84,comp_2,0.0
84,comp_3,0.0
84,comp_4,0.0
84,comp_5,0.0
86,comp_0,6.391479070263859e-05
86,comp_1,-2.1474536895912767e-07
86,comp_2,-0.0002728852007194844
86,comp_3,8.92757354808541e-06
86,comp_4,1.328667363152423e-05
86,comp_5,5.449859850717084e-09
87,comp_0,0.00018048294102422088
87,comp_1,-2.0777986457891735e-05
87,comp_2,-0.0004564656103360155
87,comp_3,2.0017369022532338e-05
87,comp_4,-2.8067012534713543e-05
87,comp_5,2.504457739661053e-07
89,comp_0,0.0006805500843240066
89,comp_1,-5.681924155785705e-05
89,comp_2,-0.0005243687362224857
89,comp_3,4.271430170648756e-05
89,comp_4,-0.00032142776253487996
89,comp_5,1.420030411825444e-08
91,comp_0,0.0
91,comp_1,0.0
91,comp_2,0.0
91,comp_3,0.0
91,comp_4,0.0
91,comp_5,0.0
93,comp_0,6.395430218655629e-05
93,comp_1,-2.1474536895912767e-07
93,comp_2,-0.0004621131436082533
93,comp_3,3.096061074648669e-06
93,comp_4,1.8287879738351465e-05
93,comp_5,5.449859850717084e-09
94,comp_0,0.00018229867288547516
94,comp_1,-2.0777986457891735e-05
94,comp_2,-0.0007724494912420243
94,comp_3,9.321493618726961e-06
94,comp_4,-9.542239467925523e-05
94,comp_5,2.504457739661053e-07
96,comp_0,0.000680653036528864
96,comp_1,-5.681924155785705e-05
96,comp_2,-0.0008999529408714034
96,comp_3,1.2719641405883712e-05
96,comp_4,-0.00048263019111462836
96,comp_5,1.420030411825444e-08
98,comp_0,0.0
98,comp_1,0.0
98,comp_2,0.0
98,comp_3,0.0
98,comp_4,0.0
98,comp_5,0.0
100,comp_0,6.400280593922767e-05
100,comp_1,-2.1474536895912767e-07
100,comp_2,-0.00027179424347931967
100,comp_3,-3.77790075007842e-06
100,comp_4,4.606825062301309e-05
100,comp_5,5.449859850717084e-09
101,comp_0,0.00018452764027377348
101,comp_1,-2.0777986457891735e-05
101,comp_2,-0.000498158174746299
101,comp_3,-3.130006959065601e-06
101,comp_4,-4.705340982637007e-05
101,comp_5,2.504457739661053e-07
103,comp_0,0.0006807794192355164
103,comp_1,-5.681924155785705e-05
103,comp_2,-0.0005860814219731579
103,comp_3,-2.0204552240324974e-05
103,comp_4,-0.0003797668837166585
103,comp_5,1.420030411825444e-08
105,comp_0,0.0
105,comp_1,0.0
105,comp_2,0.0
105,comp_3,0.0
105,comp_4,0.0
105,comp_5,0.0
107,comp_0,6.391479070263859e-05
107,comp_1,-1.8749606970554227e-07
107,comp_2,-0.00026014642843945465
107,comp_3,8.121918578524186e-06
107,comp_4,3.482738890527298e-05
107,comp_5,5.449859850717084e-09
108,comp_0,0.00018048294102422088
108,comp_1,-1.952575758806121e-05
108,comp_2,-0.0004657753386553338
108,comp_3,8.935618735151984e-06
108,comp_4,-8.906240464604773e-05
108,comp_5,2.504457739661053e-07
110,comp_0,0.0006805500843240066
110,comp_1,-5.674824003726578e-05
110,comp_2,-0.0006244937534901115
110,comp_3,4.842371691838065e-05
110,comp_4,0.0009996489426509095
110,comp_5,1.420030411825444e-08
112,comp_0,0.0
112,comp_1,0.0
112,comp_2,0.0
112,comp_3,0.0
112,comp_4,0.0
112,comp_5,0.0
114,comp_0,6.395430218655629e-05
114,comp_1,-1.8749606970554227e-07
114,comp_2,-0.00039508735144202367
114,comp_3,1.6771562829305367e-06
114,comp_4,3.521478676789058e-05
114,comp_5,5.449859850717084e-09
115,comp_0,0.00018229867288547516
115,comp_1,-1.952575758806121e-05
115,comp_2,-0.0006952633355694381
115,comp_3,8.961550445326023e-06
115,comp_4,-0.00012003973590248724
115,comp_5,2.504457739661053e-07
117,comp_0,0.000680653036528864
117,comp_1,-5.674824003726578e-05
117,comp_2,-0.0009206283850685934
117,comp_3,1.3650345998596647e-05
117,comp_4,0.0012101160946598336
117,comp_5,1.420030411825444e-08
119,comp_0,0.0
119,comp_1,0.0
119,comp_2,0.0
119,comp_3,0.0
119,comp_4,0.0
119,comp_5,0.0
