tag,Rx_kN,Ry_kN,Rz_kN,Mx_kN_m,My_kN_m,Mz_kN_m
299,0.296162,0.099828,83.685857,-1.143868,0.36238,-0.006556
301,-0.831361,0.036465,-0.0,-0.0,0.0,0.021552
302,0.52272,-0.12738,0.0,-0.0,-0.0,-0.014086
304,0.308641,0.090915,89.886171,-1.224474,0.37446,-0.007466
306,-0.834045,0.036465,-0.0,-0.0,0.0,0.021552
307,0.524108,-0.12738,0.0,-0.0,-0.0,-0.014086
309,0.309937,0.090915,89.886171,-1.224474,0.379235,-0.007466
311,-0.760883,-1.524707,0.0,-0.0,0.0,0.396653
312,0.478408,-1.344255,-0.0,-0.0,0.0,-0.259241
314,0.282476,2.868962,191.200474,-28.045423,0.342716,-0.137412
316,-0.760883,0.765893,0.0,-0.0,0.0,0.396653
317,0.478408,-2.528302,-0.0,-0.0,0.0,-0.259241
319,0.282476,1.762409,191.200474,-23.970355,0.342716,-0.137412
321,0.035604,-0.066323,0.0,0.0,-0.0,0.002628
322,-0.07046,0.092017,59.532299,-0.830524,-0.696071,-0.002697
324,0.035522,-0.066323,0.0,0.0,-0.0,0.002628
325,-0.035522,0.066323,33.050154,-0.525276,-0.281333,-0.002628
327,0.035604,-0.064411,0.0,0.0,-0.0,0.002628
328,-0.07046,0.090083,59.532299,-0.815122,-0.696071,-0.002697
330,0.035522,-0.064411,0.0,0.0,-0.0,0.002628
331,-0.035522,0.064411,33.050154,-0.510135,-0.281333,-0.002628
333,-0.383094,-0.040362,-0.0,-0.0,-0.0,0.049009
334,0.240269,-0.239974,0.0,-0.0,0.0,-0.032031
336,0.142825,0.280337,84.942408,-3.170566,0.179713,-0.016978
338,-0.383094,0.098725,-0.0,-0.0,-0.0,0.049009
339,0.240269,-0.311871,0.0,-0.0,0.0,-0.032031
341,0.142825,0.213146,84.942408,-2.923125,0.179713,-0.016978
343,0.034856,-0.025694,0.0,0.0,-0.0,6.9e-05
345,0.034854,-0.025694,0.0,0.0,0.0,6.9e-05
346,-0.034854,0.025694,26.482145,-0.305248,-0.414071,-6.9e-05
348,0.034856,-0.025672,0.0,0.0,0.0,6.9e-05
350,0.034854,-0.025672,0.0,0.0,0.0,6.9e-05
351,-0.034854,0.025672,26.482145,-0.304987,-0.414071,-6.9e-05
353,0.136633,21.993637,0.0,0.0,-0.0,57.547303
354,-0.136633,-21.993637,54.12868,348.379216,-2.164269,-57.547303
356,0.136633,44.374966,0.0,0.0,-0.0,57.547303
357,-0.136633,-44.374966,54.12868,702.899468,-2.164269,-57.547303
359,0.144585,1.651328,0.0,0.0,-0.0,2.930725
360,-0.144585,-1.651328,23.300425,26.157028,-2.290231,-2.930725
362,0.118456,1.651328,0.0,0.0,-0.0,2.930725
363,-0.118456,-1.651328,23.300425,26.157028,-1.87635,-2.930725
365,0.144585,2.103865,0.0,0.0,-0.0,2.930725
366,-0.144585,-2.103865,28.318978,33.325227,-2.290231,-2.930725
368,0.118456,2.103865,0.0,0.0,-0.0,2.930725
369,-0.118456,-2.103865,28.318978,33.325227,-1.87635,-2.930725
371,0.018738,0.529935,-0.0,0.0,-0.0,0.985778
372,-0.018738,-0.529935,29.012718,8.394165,-0.296813,-0.985778
374,0.02245,4.960393,0.0,0.0,-0.0,8.576
375,-0.02245,-4.960393,47.98959,78.572619,-0.355611,-8.576
377,0.018738,0.707313,-0.0,0.0,-0.0,0.985778
378,-0.018738,-0.707313,29.012718,11.203837,-0.296813,-0.985778
380,0.02245,6.620721,0.0,0.0,-0.0,8.576
381,-0.02245,-6.620721,47.98959,104.872223,-0.355611,-8.576
396,9.627117,-0.0,278.796365,0.0,0.12121,-0.0
399,0.0,0.0,97.136259,0.0,0.0,0.0
400,0.0,0.0,97.136259,0.0,0.0,0.0
402,0.0,0.0,108.903909,0.0,0.0,0.0
403,0.0,0.0,108.903909,0.0,0.0,0.0
405,0.0,0.0,175.293395,0.0,0.0,0.0
406,0.0,0.0,175.293395,0.0,0.0,0.0
429,-0.0,0.0,0.0,0.0,0.0,-0.0
430,-0.0,0.0,-0.0,-0.0,-0.0,0.0
671,9.627117,-0.0,444.380893,0.009629,-26.693351,-0.000332
672,-9.627117,0.0,-278.796365,-0.009629,55.574701,0.000332
674,-9.627117,0.0,458.785725,0.012737,-28.711914,0.000332
