nodo,direccion,valor_kN
28,comp_3,3.019806626980426e-14
28,comp_4,4.263256414560601e-13
28,comp_5,-0.033264296837723153
30,comp_0,-12.58676119720043
30,comp_1,-2.2504370616673572
30,comp_2,1503.6776610730192
30,comp_3,2.9418858224461726
30,comp_4,-21.462716243649844
30,comp_5,-0.0007673618288427359
31,comp_0,55.38346742421429
31,comp_1,-0.5543079875874004
31,comp_2,-7.047695760320494e-13
31,comp_3,3.730349362740526e-14
31,comp_4,-3.963496197911809e-14
31,comp_5,-0.03372903218206837
33,comp_0,54.49434941654525
33,comp_1,-6.441178728151826
33,comp_2,-4.076738946423575e-13
33,comp_3,4.973799150320701e-14
33,comp_4,-1.2430056983703253e-12
33,comp_5,0.06776069084863648
35,comp_0,-97.2910556435591
35,comp_1,9.245923777406585
35,comp_2,7.309708394132031e-13
35,comp_3,9.769962616701378e-14
35,comp_4,-3.0464519795714295e-13
35,comp_5,-0.03326429683772442
37,comp_0,-10.505403722541525
37,comp_1,0.4133903078514177
37,comp_2,1609.844887911205
37,comp_3,-0.5743663053186101
37,comp_4,-18.722000683382003
37,comp_5,-0.0007673618288427359
38,comp_0,43.45163691754942
38,comp_1,3.779137273564439
38,comp_2,1.5001333508735115e-12
38,comp_3,3.375077994860476e-14
38,comp_4,-6.275535646693697e-14
38,comp_5,-0.03372903218206847
40,comp_0,39.16544609461203
40,comp_1,5.084317309066248
40,comp_2,-1.100008972798605e-12
40,comp_3,-4.618527782440651e-14
40,comp_4,1.2501111257279263e-13
40,comp_5,0.06776069084863766
42,comp_0,-72.11167928961993
42,comp_1,-9.276844890482105
42,comp_2,1.7990053891026037e-12
42,comp_3,-2.3092638912203256e-14
42,comp_4,-4.911626660941693e-13
42,comp_5,-0.03326429683772457
44,comp_0,-4.419508534328083
44,comp_1,0.37568342244023056
44,comp_2,1780.152347547998
44,comp_3,-0.5204592807975656
44,comp_4,-10.688619034940263
44,comp_5,-0.0007673618288427359
45,comp_0,6.077932684316182
45,comp_1,4.676019196013417
45,comp_2,1.6076029396572267e-13
45,comp_3,3.019806626980426e-14
45,comp_4,-7.72715225139109e-14
45,comp_5,-0.03372903218206847
47,comp_0,-39.56486269890082
47,comp_1,7.123410133622169
47,comp_2,7.140954494389007e-13
47,comp_3,7.105427357601002e-15
47,comp_4,-1.4654943925052066e-13
47,comp_5,0.06776069084863746
49,comp_0,37.90643854891272
49,comp_1,-12.175112752075817
49,comp_2,-8.646416915780719e-13
49,comp_3,-1.7763568394002505e-15
49,comp_4,-1.6708856520608606e-13
49,comp_5,-0.03326429683772498
51,comp_0,-25.363191547304563
51,comp_1,-1.7141735541516288
51,comp_2,-8.277822871605167e-13
51,comp_3,6.394884621840902e-14
51,comp_4,-1.304512053934559e-14
51,comp_5,-0.03372903218206837
